90 Mount Prospect Lawns,nil,nil,Kilkenny,co. Kilkenny
74 Moore Street,Smithfield,nil,Birr,co. Offaly
19 Bachelors Walk,Stillorgan,nil,Dun Laoghaire,co. Dublin
41 Amiens Street,Stillorgan,nil,Kinsale,co. Cork
102 Dublin Road,(above SPAR),nil,Sligo,co. Sligo
19 Dublin Road,nil,nil,Cork,co. Cork
39 Henry Street,(above SPAR),nil,Killarney,co. Kerry
53 Capel Street,nil,nil,Enniskerry,co. Wicklow
39 Capel Street,nil,2,Dublin,co. Dublin
22 Portobello Avenue,nil,nil,Duleek,co. Meath
90 India Avenue,nil,nil,Cork,co. Cork
4 Malborough Street,Stillorgan,nil,Galway,co. Galway
60 Parnell Street,nil,nil,Westport,co. Mayo
44 Wide Avenue,the red door beside Centra,nil,Longford,co. Longford
34 Side Road,Clontarf,nil,Carlow,co. Carlow
23 Wide Lawns,Stillorgan,nil,Arvagh,co. Cavan
18 PParnell Street,the red door beside Centra,nil,Dowra,co. Cavan
89 South William Street,Smithfield,nil,Waterford,co. Waterford
30 South Merrion Street,(above SPAR),8,Dublin,co. Dublin
222 South William Street,Smithfield,nil,Waterford,co. Waterford
88 Merrion Row,Clontarf,nil,Westport,co. Mayo
8 Talbot Street,nil,1,Dublin,co. Dublin
61 Happy Avenue,nil,nil,Duleek,co. Meath
71 Connolly Street,Clontarf,nil,Dundalk,co. Louth
44 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
75 Amiens Street,Clontarf,nil,Letterkenny,co. Donegal
54 Nassau Street,nil,nil,Wexford,co. Wexford
4 North King Street,nil,nil,Cobh,co. Cork
30 Wicklow Street,nil,nil,Cork,co. Cork
39 Moore Street,Clontarf,nil,Killarney,co. Kerry
54 Macarena Road,the red door beside Centra,nil,Galway,co. Galway
44  Mount Prospect Lawns,nil,nil,Enniskerry,co. Wicklow
80 Larkin Avenue,nil,18,Dublin,co. Dublin
26 Stilorgan Road,nil,nil,Ashbourne,co. Meath
61 Phibsborough Avenue,nil,nil,Cork,co. Cork
47 Yellow Road,nil,nil,Galway,co. Galway
29 Baggot Street,nil,nil,Westport,co. Mayo
87 Imaginery Road,Clontarf,nil,Birr,co. Offaly
17 Actual Road,(above SPAR),nil,Dun Laoghaire,co. Dublin
21 Grafton Street,nil,nil,Cobh,co. Cork
96 Dame Street,nil,nil,Sligo,co. Sligo
82 Wexford Street,nil,nil,Kinsale,co. Cork
53 Some Road,Clontarf,nil,Killarney,co. Kerry
32 Rogerson Quay,nil,nil,Galway,co. Galway
48 Towsend Street,Smithfield,nil,Tullamore,co. Offaly
12 St Patrick Street,nil,nil,Birr,co. Dublin
81 Talbot Street,nil,7,Dublin,co. Longford
67 Larkin Avenue,nil,nil,Tullow,co. Carlow
60 Baggot Street,nil,nil,Carlow,co. Carlow
20 Wicklow Street,Stillorgan,nil,Galway,co. Galway
41 Mount Prospect Lawns,(above SPAR),nil,Kilkenny,co. Kilkenny
74 Moore Street,Smithfield,nil,Birr,co. Offaly
11 Bachelors Walk,Smithfield,nil,Dun Laoghaire,co. Dublin
32 Amiens Street,the red door beside Centra,nil,Kinsale,co. Cork
93 Dublin Road,the red door beside Centra,nil,Sligo,co. Sligo
18 Dublin Road,nil,nil,Cork,co. Cork
4 Henry Street,Stillorgan,nil,Killarney,co. Kerry
59 Capel Street,Stillorgan,nil,Enniskerry,co. Wicklow
30 Capel Street,nil,2,Dublin,co. Dublin
18 Portobello Avenue,(above SPAR),nil,Duleek,co. Meath
8 India Avenue,Smithfield,nil,Cork,co. Cork
4 Malborough Street,nil,nil,Galway,co. Galway
71 Parnell Street,(above SPAR),nil,Westport,co. Mayo
64 Wide Avenue,Smithfield,nil,Longford,co. Longford
81 Side Road,nil,nil,Carlow,co. Carlow
39 Wide Lawns,nil,nil,Arvagh,co. Cavan
28 PParnell Street,nil,nil,Dowra,co. Cavan
85 South William Street,nil,nil,Waterford,co. Waterford
41 South Merrion Street,nil,8,Dublin,co. Dublin
88 Merrion Square,nil,nil,Ashbourne,co. Meath
8 Merrior Row,Stillorgan,nil,Westport,co. Mayo
91 Talbot Street,the red door beside Centra,1,Dublin,co. Dublin
62 Happy Avenue,nil,nil,Duleek,co. Meath
72 Connolly Street,Clontarf,nil,Dundalk,co. Louth
42 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
85 Amiens Street,nil,nil,Letterkenny,co. Donegal
51 Nassau Street,nil,nil,Wexford,co. Wexford
11 North King Street,the red door beside Centra,nil,Cobh,co. Cork
91 Wicklow Street,Clontarf,nil,Cork,co. Cork
40 Moore Street,the red door beside Centra,nil,Killarney,co. Kerry
24 Macarena Road,Stillorgan,nil,Galway,co. Galway
24 Mount Prospect Lawns,the red door beside Centra,nil,Enniskerry,co. Wicklow
72 Larkin Avenue,nil,18,Dublin,co. Dublin
29 Stilorgan Road,nil,nil,Ashbourne,co. Meath
91 Phibsborough Avenue,nil,nil,Cork,co. Cork
27 Yellow Road,Stillorgan,nil,Galway,co. Galway
30 Baggot Street,Clontarf,nil,Westport,co. Mayo
87 Imaginery Road,nil,nil,Birr,co. Offaly
37 Actual Road,Stillorgan,nil,Dun Laoghaire,co. Dublin
30 Grafton Street,nil,nil,Cobh,co. Cork
100 Dame Street,Smithfield,nil,Sligo,co. Sligo
92 Wexford Street,nil,nil,Kinsale,co. Cork
51 Some Road,nil,nil,Killarney,co. Kerry
33 Rogerson Quay,nil,nil,Galway,co. Galway
41 Towsend Street,Clontarf,nil,Tullamore,co. Offaly
22 St Patrick Street,Smithfield,nil,Birr,co. Dublin
31 Talbot Street,nil,7,Dublin,co. Longford
68 Larkin Avenue,nil,nil,Tullow,co. Carlow
58 Baggot Street,Stillorgan,nil,Carlow,co. Carlow
50 Wicklow Street,nil,nil,Galway,co. Galway
91 Mount Prospect Lawns,nil,nil,Kilkenny,co. Kilkenny
75 Moore Street,Smithfield,nil,Birr,co. Offaly
20 Bachelors Walk,Stillorgan,nil,Dun Laoghaire,co. Dublin
42 Amiens Street,Stillorgan,nil,Kinsale,co. Cork
103 Dublin Road,(above SPAR),nil,Sligo,co. Sligo
20 Dublin Road,nil,nil,Cork,co. Cork
40 Henry Street,(above SPAR),nil,Killarney,co. Kerry
54 Capel Street,nil,nil,Enniskerry,co. Wicklow
40 Capel Street,nil,2,Dublin,co. Dublin
23 Portobello Avenue,nil,nil,Duleek,co. Meath
91 India Avenue,nil,nil,Cork,co. Cork
5 Malborough Street,Stillorgan,nil,Galway,co. Galway
61 Parnell Street,nil,nil,Westport,co. Mayo
45 Wide Avenue,the red door beside Centra,nil,Longford,co. Longford
35 Side Road,Clontarf,nil,Carlow,co. Carlow
24 Wide Lawns,Stillorgan,nil,Arvagh,co. Cavan
19 PParnell Street,the red door beside Centra,nil,Dowra,co. Cavan
90 South William Street,Smithfield,nil,Waterford,co. Waterford
31 South Merrion Street,(above SPAR),8,Dublin,co. Dublin
223 South William Street,Smithfield,nil,Waterford,co. Waterford
90 Merrion Row,Clontarf,nil,Westport,co. Mayo
9 Talbot Street,nil,1,Dublin,co. Dublin
62 Happy Avenue,nil,nil,Duleek,co. Meath
72 Connolly Street,Clontarf,nil,Dundalk,co. Louth
45 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
76 Amiens Street,Clontarf,nil,Letterkenny,co. Donegal
55 Nassau Street,nil,nil,Wexford,co. Wexford
5 North King Street,nil,nil,Cobh,co. Cork
31 Wicklow Street,nil,nil,Cork,co. Cork
40 Moore Street,Clontarf,nil,Killarney,co. Kerry
55 Macarena Road,the red door beside Centra,nil,Galway,co. Galway
45  Mount Prospect Lawns,nil,nil,Enniskerry,co. Wicklow
81 Larkin Avenue,nil,18,Dublin,co. Dublin
27 Stilorgan Road,nil,nil,Ashbourne,co. Meath
62 Phibsborough Avenue,nil,nil,Cork,co. Cork
48 Yellow Road,nil,nil,Galway,co. Galway
30 Baggot Street,nil,nil,Westport,co. Mayo
88 Imaginery Road,Clontarf,nil,Birr,co. Offaly
18 Actual Road,(above SPAR),nil,Dun Laoghaire,co. Dublin
22 Grafton Street,nil,nil,Cobh,co. Cork
97 Dame Street,nil,nil,Sligo,co. Sligo
83 Wexford Street,nil,nil,Kinsale,co. Cork
53 Some Road,Clontarf,nil,Killarney,co. Kerry
33 Rogerson Quay,nil,nil,Galway,co. Galway
49 Towsend Street,Smithfield,nil,Tullamore,co. Offaly
13 St Patrick Street,nil,nil,Birr,co. Dublin
82 Talbot Street,nil,7,Dublin,co. Longford
68 Larkin Avenue,nil,nil,Tullow,co. Carlow
61 Baggot Street,nil,nil,Carlow,co. Carlow
21 Wicklow Street,Stillorgan,nil,Galway,co. Galway
42 Mount Prospect Lawns,(above SPAR),nil,Kilkenny,co. Kilkenny
75 Moore Street,Smithfield,nil,Birr,co. Offaly
12 Bachelors Walk,Smithfield,nil,Dun Laoghaire,co. Dublin
33 Amiens Street,the red door beside Centra,nil,Kinsale,co. Cork
94 Dublin Road,the red door beside Centra,nil,Sligo,co. Sligo
19 Dublin Road,nil,nil,Cork,co. Cork
5 Henry Street,Stillorgan,nil,Killarney,co. Kerry
60 Capel Street,Stillorgan,nil,Enniskerry,co. Wicklow
31 Capel Street,nil,2,Dublin,co. Dublin
19 Portobello Avenue,(above SPAR),nil,Duleek,co. Meath
9 India Avenue,Smithfield,nil,Cork,co. Cork
5 Malborough Street,nil,nil,Galway,co. Galway
72 Parnell Street,(above SPAR),nil,Westport,co. Mayo
65 Wide Avenue,Smithfield,nil,Longford,co. Longford
82 Side Road,nil,nil,Carlow,co. Carlow
20 Wide Lawns,nil,nil,Arvagh,co. Cavan
29 PParnell Street,nil,nil,Dowra,co. Cavan
86 South William Street,nil,nil,Waterford,co. Waterford
42 South Merrion Street,nil,8,Dublin,co. Dublin
89 Merrion Square,nil,nil,Ashbourne,co. Meath
9 Merrior Row,Stillorgan,nil,Westport,co. Mayo
92 Talbot Street,the red door beside Centra,1,Dublin,co. Dublin
63 Happy Avenue,nil,nil,Duleek,co. Meath
73 Connolly Street,Clontarf,nil,Dundalk,co. Louth
43 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
86 Amiens Street,nil,nil,Letterkenny,co. Donegal
52 Nassau Street,nil,nil,Wexford,co. Wexford
12 North King Street,the red door beside Centra,nil,Cobh,co. Cork
92 Wicklow Street,Clontarf,nil,Cork,co. Cork
41 Moore Street,the red door beside Centra,nil,Killarney,co. Kerry
25 Macarena Road,Stillorgan,nil,Galway,co. Galway
25  Mount Prospect Lawns,the red door beside Centra,nil,Enniskerry,co. Wicklow
73 Larkin Avenue,nil,18,Dublin,co. Dublin
30 Stilorgan Road,nil,nil,Ashbourne,co. Meath
92 Phibsborough Avenue,nil,nil,Cork,co. Cork
28 Yellow Road,Stillorgan,nil,Galway,co. Galway
31 Baggot Street,Clontarf,nil,Westport,co. Mayo
88 Imaginery Road,nil,nil,Birr,co. Offaly
39 Actual Road,Stillorgan,nil,Dun Laoghaire,co. Dublin
31 Grafton Street,nil,nil,Cobh,co. Cork
101 Dame Street,Smithfield,nil,Sligo,co. Sligo
93 Wexford Street,nil,nil,Kinsale,co. Cork
52 Some Road,nil,nil,Killarney,co. Kerry
34 Rogerson Quay,nil,nil,Galway,co. Galway
42 Towsend Street,Clontarf,nil,Tullamore,co. Offaly
23 St Patrick Street,Smithfield,nil,Birr,co. Dublin
32 Talbot Street,nil,7,Dublin,co. Longford
69 Larkin Avenue,nil,nil,Tullow,co. Carlow
59 Baggot Street,Stillorgan,nil,Carlow,co. Carlow
51 Wicklow Street,nil,nil,Galway,co. Galway
92 Mount Prospect Lawns,nil,nil,Kilkenny,co. Kilkenny
76 Moore Street,Smithfield,nil,Birr,co. Offaly
21 Bachelors Walk,Stillorgan,nil,Dun Laoghaire,co. Dublin
43 Amiens Street,Stillorgan,nil,Kinsale,co. Cork
104 Dublin Road,(above SPAR),nil,Sligo,co. Sligo
21 Dublin Road,nil,nil,Cork,co. Cork
41 Henry Street,(above SPAR),nil,Killarney,co. Kerry
55 Capel Street,nil,nil,Enniskerry,co. Wicklow
41 Capel Street,nil,2,Dublin,co. Dublin
24 Portobello Avenue,nil,nil,Duleek,co. Meath
92 India Avenue,nil,nil,Cork,co. Cork
6 Malborough Street,Stillorgan,nil,Galway,co. Galway
62 Parnell Street,nil,nil,Westport,co. Mayo
46 Wide Avenue,the red door beside Centra,nil,Longford,co. Longford
36 Side Road,Clontarf,nil,Carlow,co. Carlow
25 Wide Lawns,Stillorgan,nil,Arvagh,co. Cavan
20 PParnell Street,the red door beside Centra,nil,Dowra,co. Cavan
91 South William Street,Smithfield,nil,Waterford,co. Waterford
32 South Merrion Street,(above SPAR),8,Dublin,co. Dublin
224 South William Street,Smithfield,nil,Waterford,co. Waterford
89 Merrion Row,Clontarf,nil,Westport,co. Mayo
10 Talbot Street,nil,1,Dublin,co. Dublin
63 Happy Avenue,nil,nil,Duleek,co. Meath
73 Connolly Street,Clontarf,nil,Dundalk,co. Louth
46 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
77 Amiens Street,Clontarf,nil,Letterkenny,co. Donegal
56 Nassau Street,nil,nil,Wexford,co. Wexford
6 North King Street,nil,nil,Cobh,co. Cork
32 Wicklow Street,nil,nil,Cork,co. Cork
41 Moore Street,Clontarf,nil,Killarney,co. Kerry
56 Macarena Road,the red door beside Centra,nil,Galway,co. Galway
46 Mount Prospect Lawns,nil,nil,Enniskerry,co. Wicklow
82 Larkin Avenue,nil,18,Dublin,co. Dublin
28 Stilorgan Road,nil,nil,Ashbourne,co. Meath
63 Phibsborough Avenue,nil,nil,Cork,co. Cork
49 Yellow Road,nil,nil,Galway,co. Galway
31 Baggot Street,nil,nil,Westport,co. Mayo
89 Imaginery Road,Clontarf,nil,Birr,co. Offaly
19 Actual Road,(above SPAR),nil,Dun Laoghaire,co. Dublin
23 Grafton Street,nil,nil,Cobh,co. Cork
98 Dame Street,nil,nil,Sligo,co. Sligo
84 Wexford Street,nil,nil,Kinsale,co. Cork
54 Some Road,Clontarf,nil,Killarney,co. Kerry
34 Rogerson Quay,nil,nil,Galway,co. Galway
50 Towsend Street,Smithfield,nil,Tullamore,co. Offaly
14 St Patrick Street,nil,nil,Birr,co. Dublin
83 Talbot Street,nil,7,Dublin,co. Longford
69 Larkin Avenue,nil,nil,Tullow,co. Carlow
62 Baggot Street,nil,nil,Carlow,co. Carlow
22 Wicklow Street,Stillorgan,nil,Galway,co. Galway
43 Mount Prospect Lawns,(above SPAR),nil,Kilkenny,co. Kilkenny
76 Moore Street,Smithfield,nil,Birr,co. Offaly
13 Bachelors Walk,Smithfield,nil,Dun Laoghaire,co. Dublin
34 Amiens Street,the red door beside Centra,nil,Kinsale,co. Cork
95 Dublin Road,the red door beside Centra,nil,Sligo,co. Sligo
20 Dublin Road,nil,nil,Cork,co. Cork
6 Henry Street,Stillorgan,nil,Killarney,co. Kerry
61 Capel Street,Stillorgan,nil,Enniskerry,co. Wicklow
32 Capel Street,nil,2,Dublin,co. Dublin
20 Portobello Avenue,(above SPAR),nil,Duleek,co. Meath
10 India Avenue,Smithfield,nil,Cork,co. Cork
6 Malborough Street,nil,nil,Galway,co. Galway
73 Parnell Street,(above SPAR),nil,Westport,co. Mayo
66 Wide Avenue,Smithfield,nil,Longford,co. Longford
83 Side Road,nil,nil,Carlow,co. Carlow
21 Wide Lawns,nil,nil,Arvagh,co. Cavan
30 PParnell Street,nil,nil,Dowra,co. Cavan
87 South William Street,nil,nil,Waterford,co. Waterford
43 South Merrion Street,nil,8,Dublin,co. Dublin
90 Merrion Square,nil,nil,Ashbourne,co. Meath
10 Merrior Row,Stillorgan,nil,Westport,co. Mayo
93 Talbot Street,the red door beside Centra,1,Dublin,co. Dublin
64 Happy Avenue,nil,nil,Duleek,co. Meath
74 Connolly Street,Clontarf,nil,Dundalk,co. Louth
44 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
87 Amiens Street,nil,nil,Letterkenny,co. Donegal
53 Nassau Street,nil,nil,Wexford,co. Wexford
13 North King Street,the red door beside Centra,nil,Cobh,co. Cork
93 Wicklow Street,Clontarf,nil,Cork,co. Cork
42 Moore Street,the red door beside Centra,nil,Killarney,co. Kerry
26 Macarena Road,Stillorgan,nil,Galway,co. Galway
26  Mount Prospect Lawns,the red door beside Centra,nil,Enniskerry,co. Wicklow
74 Larkin Avenue,nil,18,Dublin,co. Dublin
31 Stilorgan Road,nil,nil,Ashbourne,co. Meath
93 Phibsborough Avenue,nil,nil,Cork,co. Cork
29 Yellow Road,Stillorgan,nil,Galway,co. Galway
2 Baggot Street,Clontarf,nil,Westport,co. Mayo
89 Imaginery Road,nil,nil,Birr,co. Offaly
40 Actual Road,Stillorgan,nil,Dun Laoghaire,co. Dublin
32 Grafton Street,nil,nil,Cobh,co. Cork
102 Dame Street,Smithfield,nil,Sligo,co. Sligo
94 Wexford Street,nil,nil,Kinsale,co. Cork
53 Some Road,nil,nil,Killarney,co. Kerry
35 Rogerson Quay,nil,nil,Galway,co. Galway
43 Towsend Street,Clontarf,nil,Tullamore,co. Offaly
24 St Patrick Street,Smithfield,nil,Birr,co. Dublin
33 Talbot Street,nil,7,Dublin,co. Longford
70 Larkin Avenue,nil,nil,Tullow,co. Carlow
60 Baggot Street,Stillorgan,nil,Carlow,co. Carlow
52 Wicklow Street,nil,nil,Galway,co. Galway
93 Mount Prospect Lawns,nil,nil,Kilkenny,co. Kilkenny
77 Moore Street,Smithfield,nil,Birr,co. Offaly
22 Bachelors Walk,Stillorgan,nil,Dun Laoghaire,co. Dublin
44 Amiens Street,Stillorgan,nil,Kinsale,co. Cork
105 Dublin Road,(above SPAR),nil,Sligo,co. Sligo
22 Dublin Road,nil,nil,Cork,co. Cork
42 Henry Street,(above SPAR),nil,Killarney,co. Kerry
56 Capel Street,nil,nil,Enniskerry,co. Wicklow
42 Capel Street,nil,2,Dublin,co. Dublin
25 Portobello Avenue,nil,nil,Duleek,co. Meath
93 India Avenue,nil,nil,Cork,co. Cork
7 Malborough Street,Stillorgan,nil,Galway,co. Galway
63 Parnell Street,nil,nil,Westport,co. Mayo
47 Wide Avenue,the red door beside Centra,nil,Longford,co. Longford
37 Side Road,Clontarf,nil,Carlow,co. Carlow
26 Wide Lawns,Stillorgan,nil,Arvagh,co. Cavan
21 PParnell Street,the red door beside Centra,nil,Dowra,co. Cavan
2 South William Street,Smithfield,nil,Waterford,co. Waterford
33 South Merrion Street,(above SPAR),8,Dublin,co. Dublin
225 South William Street,Smithfield,nil,Waterford,co. Waterford
90 Merrion Row,Clontarf,nil,Westport,co. Mayo
11 Talbot Street,nil,1,Dublin,co. Dublin
64 Happy Avenue,nil,nil,Duleek,co. Meath
74 Connolly Street,Clontarf,nil,Dundalk,co. Louth
47 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
78 Amiens Street,Clontarf,nil,Letterkenny,co. Donegal
57 Nassau Street,nil,nil,Wexford,co. Wexford
7 North King Street,nil,nil,Cobh,co. Cork
33 Wicklow Street,nil,nil,Cork,co. Cork
42 Moore Street,Clontarf,nil,Killarney,co. Kerry
57 Macarena Road,the red door beside Centra,nil,Galway,co. Galway
47 Mount Prospect Lawns,nil,nil,Enniskerry,co. Wicklow
83 Larkin Avenue,nil,18,Dublin,co. Dublin
29 Stilorgan Road,nil,nil,Ashbourne,co. Meath
64 Phibsborough Avenue,nil,nil,Cork,co. Cork
50 Yellow Road,nil,nil,Galway,co. Galway
32 Baggot Street,nil,nil,Westport,co. Mayo
90 Imaginery Road,Clontarf,nil,Birr,co. Offaly
20 Actual Road,(above SPAR),nil,Dun Laoghaire,co. Dublin
24 Grafton Street,nil,nil,Cobh,co. Cork
99 Dame Street,nil,nil,Sligo,co. Sligo
85 Wexford Street,nil,nil,Kinsale,co. Cork
55 Some Road,Clontarf,nil,Killarney,co. Kerry
35 Rogerson Quay,nil,nil,Galway,co. Galway
51 Towsend Street,Smithfield,nil,Tullamore,co. Offaly
15 St Patrick Street,nil,nil,Birr,co. Dublin
84 Talbot Street,nil,7,Dublin,co. Longford
70 Larkin Avenue,nil,nil,Tullow,co. Carlow
63 Baggot Street,nil,nil,Carlow,co. Carlow
23 Wicklow Street,Stillorgan,nil,Galway,co. Galway
44 Mount Prospect Lawns,(above SPAR),nil,Kilkenny,co. Kilkenny
77 Moore Street,Smithfield,nil,Birr,co. Offaly
14 Bachelors Walk,Smithfield,nil,Dun Laoghaire,co. Dublin
35 Amiens Street,the red door beside Centra,nil,Kinsale,co. Cork
96 Dublin Road,the red door beside Centra,nil,Sligo,co. Sligo
21 Dublin Road,nil,nil,Cork,co. Cork
7 Henry Street,Stillorgan,nil,Killarney,co. Kerry
62 Capel Street,Stillorgan,nil,Enniskerry,co. Wicklow
33 Capel Street,nil,2,Dublin,co. Dublin
21 Portobello Avenue,(above SPAR),nil,Duleek,co. Meath
11 India Avenue,Smithfield,nil,Cork,co. Cork
7 Malborough Street,nil,nil,Galway,co. Galway
74 Parnell Street,(above SPAR),nil,Westport,co. Mayo
67 Wide Avenue,Smithfield,nil,Longford,co. Longford
84 Side Road,nil,nil,Carlow,co. Carlow
22 Wide Lawns,nil,nil,Arvagh,co. Cavan
31 PParnell Street,nil,nil,Dowra,co. Cavan
88 South William Street,nil,nil,Waterford,co. Waterford
44 South Merrion Street,nil,8,Dublin,co. Dublin
91 Merrion Square,nil,nil,Ashbourne,co. Meath
11 Merrior Row,Stillorgan,nil,Westport,co. Mayo
94 Talbot Street,the red door beside Centra,1,Dublin,co. Dublin
65 Happy Avenue,nil,nil,Duleek,co. Meath
75 Connolly Street,Clontarf,nil,Dundalk,co. Louth
45 Mount Prospect Avenue,nil,nil,Ballycasey,co. Clare
88 Amiens Street,nil,nil,Letterkenny,co. Donegal
54 Nassau Street,nil,nil,Wexford,co. Wexford
14 North King Street,the red door beside Centra,nil,Cobh,co. Cork
94 Wicklow Street,Clontarf,nil,Cork,co. Cork
43 Moore Street,the red door beside Centra,nil,Killarney,co. Kerry
27 Macarena Road,Stillorgan,nil,Galway,co. Galway
27  Mount Prospect Lawns,the red door beside Centra,nil,Enniskerry,co. Wicklow
75 Larkin Avenue,nil,18,Dublin,co. Dublin
32 Stilorgan Road,nil,nil,Ashbourne,co. Meath
94 Phibsborough Avenue,nil,nil,Cork,co. Cork
10 Yellow Road,Stillorgan,nil,Galway,co. Galway
3 Baggot Street,Clontarf,nil,Westport,co. Mayo
90 Imaginery Road,nil,nil,Birr,co. Offaly
41 Actual Road,Stillorgan,nil,Dun Laoghaire,co. Dublin
33 Grafton Street,nil,nil,Cobh,co. Cork
103 Dame Street,Smithfield,nil,Sligo,co. Sligo
95 Wexford Street,nil,nil,Kinsale,co. Cork
54 Some Road,nil,nil,Killarney,co. Kerry
36 Rogerson Quay,nil,nil,Galway,co. Galway
4 Towsend Street,Clontarf,nil,Tullamore,co. Offaly
25 St Patrick Street,Smithfield,nil,Birr,co. Dublin
34 Talbot Street,nil,7,Dublin,co. Longford
71 Larkin Avenue,nil,nil,Tullow,co. Carlow
61 Baggot Street,Stillorgan,nil,Carlow,co. Carlow
53 Wicklow Street,nil,nil,Galway,co. Galway
